ID,title,description,dueDate,status,priority,project_ID,assignee_ID,createdAt,createdBy,modifiedAt,modifiedBy
1,Design Homepage,Design the homepage for the project,2024-01-15 15:00:00,InProgress,High,1,1,2024-01-01 10:00:00,system,2024-01-01 10:00:00,system
2,Write Backend API,Write the backend API for user authentication,2024-02-01 12:00:00,Pending,Medium,1,2,2024-01-02 11:00:00,system,2024-01-02 11:00:00,system
3,Create Database Schema,Create database schema for new project,2024-02-10 10:00:00,Completed,High,2,3,2024-01-15 12:00:00,system,2024-01-15 12:00:00,system
4,Build Frontend,Build the frontend interface for the dashboard,2024-03-01 09:00:00,InProgress,Low,3,4,2024-02-01 14:00:00,system,2024-02-01 14:00:00,system
5,Write Documentation,Write the project documentation for users,2024-03-10 11:30:00,Pending,Medium,4,5,2024-03-01 10:00:00,system,2024-03-01 10:00:00,system
6,Implement Payment Gateway,Integrate payment gateway API,2024-03-15 16:00:00,InProgress,High,5,6,2024-03-10 11:30:00,system,2024-03-10 11:30:00,system
7,Design Marketing Campaign,Create marketing materials for the project,2024-04-01 10:00:00,Pending,High,6,7,2024-04-01 10:00:00,system,2024-04-01 10:00:00,system
8,User Testing,Conduct user testing sessions,2024-04-15 11:00:00,InProgress,Medium,7,8,2024-04-15 11:00:00,system,2024-04-15 11:00:00,system
9,Integrate Third-Party Services,Integrate with Stripe and PayPal,2024-05-01 10:00:00,Completed,Low,8,9,2024-05-01 10:00:00,system,2024-05-01 10:00:00,system
10,Deploy to Production,Deploy the application to production,2024-05-10 12:00:00,InProgress,High,9,10,2024-05-10 12:00:00,system,2024-05-10 12:00:00,system
11,Write User Guide,Create the user manual for the platform,2024-06-01 10:00:00,Pending,Low,10,11,2024-06-01 10:00:00,system,2024-06-01 10:00:00,system
12,Security Features,Implement SSL and two-factor authentication,2024-06-10 10:00:00,InProgress,High,11,12,2024-06-10 10:00:00,system,2024-06-10 10:00:00,system
13,Performance Optimization,Optimize the backend system for better performance,2024-07-01 09:00:00,Completed,Medium,12,13,2024-07-01 09:00:00,system,2024-07-01 09:00:00,system
14,Prepare Marketing Strategy,Create the strategy for the marketing launch,2024-07-15 10:00:00,InProgress,High,13,14,2024-07-15 10:00:00,system,2024-07-15 10:00:00,system
15,Optimize Codebase,Review and optimize the code for scalability,2024-08-01 12:00:00,Completed,Medium,14,15,2024-08-01 12:00:00,system,2024-08-01 12:00:00,system

